"Proportion","SD","CI_lower","CI_upper","Measure"
0.986798679867987,0.00654615326948455,0.971245341634603,0.996379698729781,"MM_positivity"
0.993355481727575,0.00467498933998595,0.981568747951932,0.9991916135872,"US_positivity"
0.972602739726027,0.01897603410402,0.925028689146081,0.996618099673827,"MRI_positivity"
0.00333355483199327,0.00330591686669889,8.73820358333453e-05,0.0122098890696727,"FN_MM"
0.00333340765680394,0.00331677257264758,8.55716314767089e-05,0.0122442709205425,"FN_US"
0.013894324853229,0.0136070692031265,0.000372841055892849,0.0503444975366321,"FN_MRI"
0.997159090909091,0.00283284975810092,0.989545405105252,0.999927872094265,"Biopsy_positivity"
0.138888888888889,0.0331245585647718,0.0806364671619085,0.20977644723652,"Xray_positivity"
0.880952380952381,0.0493858287381724,0.768685450690539,0.959193273752573,"CT_positivity"
0.0221238938053097,0.00976247132542475,0.00725395617639373,0.0448901383680171,"Xray_pos_early"
0.0775193798449612,0.0234537393432285,0.0380993894403664,0.129279387954529,"Xray_pos_late"
0.084070796460177,0.0184179209848476,0.0516069384513204,0.123488363849905,"CT_pos_early"
0.131782945736434,0.0296668943890015,0.0793109539228018,0.1950437818613,"CT_pos_late"
