"Stage_diagnosis","n","variable_name","level","proportion","se","ci_low","ci_high"
"1",69,"Stage_diagnosis","1",19.2200557103064,0.020796098771193,15.1440203511526,23.2960910694602
"2",155,"Stage_diagnosis","2",43.1754874651811,0.0261420270639924,38.0516501606385,48.2993247697236
"3",84,"Stage_diagnosis","3",23.3983286908078,0.0223441746382982,19.0188704617014,27.7777869199142
"4",43,"Stage_diagnosis","4",11.9777158774373,0.0171370512776008,8.61885382702757,15.3365779278471
"DCIS",5,"Stage_diagnosis","DCIS",1.39275766016713,0.00618507485867825,0.180482987866195,2.60503233246807
"NA",3,"Stage_diagnosis","NA",0.835654596100279,0.00480445304717026,-0.106018201145092,1.77732739334565
