"","duration chemo, months","duration radio, months"
"mean_value",3.73099415204678,0.475675675675676
"median_value",4,0
"sd_value",2.11107127947505,1.47835936631835
"n",171,185
"ci_low",3.41231352262935,0.261234514467608
"ci_high",4.04967478146422,0.690116836883743
"iqr_value",3,1
