"","mean_value","median_value","sd_value","n","ci_low","ci_high","iqr_value"
"duration_hormon",40.5289256198347,50,21.0923967659094,242,37.8580554618813,43.1997957777881,39
"duration_target",13.4657534246575,12,7.09475978722015,73,11.8104234913353,15.1210833579797,2
